movie_id,genre
1011345,Drama
1224895,Drama
1455204,Comedy
1455204,Drama
1601492,Thriller
1601492,Drama
1601492,Adventure
1150616,Comedy
1010357,Drama
1208217,Comedy
1208217,Fantasy
1208217,Adventure
1636619,Drama
1574511,Thriller
1574511,Comedy
1574511,Drama
1798984,Romance
1798984,Comedy
1798984,Fantasy
1011627,Comedy
1011627,Drama
1011627,Fantasy
1449336,Thriller
1449336,Crime
1449336,Drama
1011625,Drama
1011625,Thriller
1964244,Comedy
1006348,Drama
1006348,Romance
1010314,Drama
1010314,Romance
1010314,Crime
1011576,Drama
1011393,Thriller
1011393,Drama
1011602,Romance
1011602,Drama
2009607,Drama
2009607,Short
2018947,Comedy
2018947,Drama
1010071,Drama
1232950,Comedy
1232950,Drama
1010055,Thriller
1010055,Drama
1011000,Comedy
1011000,Family
1011000,Thriller
1010202,Thriller
1010202,Romance
1010202,Drama
1010202,Comedy
1010077,Drama
1010600,Comedy
1005263,Comedy
1005263,Drama
1011173,Drama
1011173,Fantasy
1011334,Horror
1011334,Crime
1010062,Drama
1010062,Romance
1010062,Adventure
1010280,Comedy
1007770,Drama
1007770,Action
1010953,Thriller
1010953,Adventure
1010953,Comedy
1010162,Romance
1010162,Drama
1009236,Thriller
1009236,Crime
1009236,Drama
1238807,Romance
1238807,Sport
1238807,Drama
1326084,Drama
1309292,Comedy
1309292,Drama
1010816,Musical
1010816,Family
1010816,Comedy
1011495,Comedy
1011495,Drama
1010156,Thriller
1010156,Drama
1010156,Romance
1010070,Crime
1010070,Drama
1011380,Drama
1011380,Comedy
1010809,Adventure
1010809,Comedy
1010809,Action
1010350,Thriller
1010350,Crime
1010350,Adventure
1010350,Drama
1010515,Family
1010515,Comedy
1010515,Musical
1010359,Comedy
1010359,Drama
1011139,Adventure
1011139,Comedy
1011139,Musical
1011643,Thriller
1011643,Drama
1011534,Documentary
1011394,Comedy
1011018,Adventure
1011018,Comedy
1011018,Musical
1011018,Family
1010356,Fantasy
1010356,Drama
1010056,Drama
1010201,Comedy
1010201,Drama
1010054,Comedy
1010059,Thriller
1010059,Drama
1010059,Adventure
1010281,Drama
1010281,Comedy
1800633,Drama
1004908,Crime
1004908,Romance
1005975,Fantasy
1005975,Adventure
1005975,Comedy
2052249,Documentary
1007858,Action
1007858,Thriller
1007858,Crime
1007858,Mystery
1007913,Romance
1007913,Comedy
1010007,Drama
1010007,Comedy
1010007,Romance
1002241,Horror
1002241,Thriller
1002241,Crime
1001400,Drama
1001585,Biography
1001585,Drama
1001585,Thriller
1000038,Drama
1002037,Drama
1004070,Comedy
1004070,Crime
1005661,Drama
1005661,Comedy
1002370,Romance
1002370,Drama
1010277,Romance
1010277,Drama
1010277,Comedy
1005747,Drama
1009998,Action
1002533,Drama
1002533,Crime
1003919,Comedy
1003919,Fantasy
1003919,Family
1007374,Crime
1007374,Drama
1007374,Thriller
1835172,Comedy
1835172,Drama
1000524,Comedy
1000524,Drama
1004703,Romance
1004703,Comedy
1004703,Action
1007568,Drama
1007568,Comedy
1004126,Adventure
1004126,Thriller
1004126,Comedy
1001886,Drama
1006509,Thriller
1006509,Adventure
1006509,Romance
1010017,Romance
1010017,Drama
1010963,Romance
1010963,Comedy
1010920,Documentary
1003033,Drama
1003033,Thriller
1001611,Drama
1001611,Comedy
1009477,Comedy
1009477,Romance
1007172,Drama
1007172,Thriller
1007172,Crime
1000035,Action
1000035,Drama
1000631,Drama
1000631,Adventure
1000631,Comedy
1009131,Thriller
1009131,Comedy
1009455,Comedy
1009455,Family
1009455,Drama
1007788,Drama
1010015,Comedy
1011588,Thriller
1011588,Drama
1090363,Comedy
1007409,Romance
1007409,Drama
1010224,Family
1010224,Comedy
1010224,Musical
1010068,Drama
1010068,Thriller
1010068,Romance
1009104,Comedy
1009104,Romance
1010024,Crime
1010024,Thriller
1010848,Musical
1010848,Drama
1006523,Drama
1006523,Romance
1010116,Comedy
1010116,Drama
1852672,Comedy
1852672,Adventure
1003400,Comedy
1003400,Drama
1010035,Drama
1010035,Musical
1010000,Thriller
1010000,Romance
1658600,Thriller
1658600,Drama
1658600,Fantasy
1274646,Comedy
1274646,Romance
1274646,Drama
1010232,Drama
1010232,Comedy
1011383,Romance
1011383,Drama
1011383,Comedy
1010023,Comedy
1010023,Drama
1058087,Romance
1010307,Biography
1010307,Documentary
1010307,History
1010153,Drama
1010153,Comedy
1327010,Comedy
1327010,Adventure
1327010,Family
1010076,Romance
1011144,Comedy
2006139,Short
2025955,Short
2006139,Short
2006139,Short
1010052,Romance
1010052,Drama
1010018,Comedy
1010018,Comedy
1005842,Drama
1009997,Sport
1009997,Comedy
1009999,Drama
1009999,Comedy
1009999,Musical
1010008,Comedy
1001127,Romance
1001127,Comedy
1004051,Comedy
1004051,Drama
2056027,Drama
1011498,Drama
1011498,Romance
1010047,Drama
1010047,Comedy
1010477,Comedy
1143532,Comedy
1143532,Drama
1004530,Drama
1003388,Comedy
1010016,Drama
1010016,Action
1010032,Comedy
1010032,Thriller
1010032,Drama
1009987,Comedy
1009987,Drama
1004760,Romance
1004760,Thriller
1004760,Adventure
1010014,Drama
1010214,Family
1010214,Drama
1010063,Comedy
1011452,Comedy
1011452,Fantasy
1072062,Comedy
1072062,Drama
1779445,Drama
1779445,Comedy
1010149,Mystery
1010149,Crime
1010149,Thriller
1939131,Romance
1939131,Family
1939131,Musical
1011313,Romance
1011313,Comedy
1005977,Comedy
2025956,Drama
2025956,Short
2035384,Drama
1791251,Drama
1005459,Drama
