movie_id,authority,rating









2066560,Egypt,All Ages





1003157,elCinema.com,Adult Supervision



1010653,elCinema.com,Adult Supervision
1008702,Egypt,+12
1010603,elCinema.com,Adults Only (18+)
1010468,elCinema.com,Adult Supervision
1010092,MPAA,Unrated
1005312,Egypt,All Ages
1011702,Egypt,All Ages




1000720,MPAA,NR


1027625,elCinema.com,Family (all ages)
1776144,Egypt,All Ages


1413063,Egypt,All Ages
2012469,Egypt,All Ages













1446150,Egypt,+18













1060350,Egypt,All Ages

1010806,Egypt,All Ages
1008774,Egypt,All Ages















1664062,Egypt,All Ages










1001800,Egypt,All Ages
1181261,elCinema.com,Adults Only (18+)

1007481,Egypt,All Ages
1236898,elCinema.com,Adult Supervision
1010334,elCinema.com,Adult Supervision
1006213,Egypt,All Ages

1010142,Egypt,All Ages
1595216,elCinema.com,Family (all ages)


1004560,elCinema.com,Adult Supervision
1006678,elCinema.com,Family (all ages)
1010469,elCinema.com,Family (all ages)

1003711,Egypt,All Ages
1006073,Egypt,All Ages

1011067,elCinema.com,Adults Only (18+)

1008857,Egypt,All Ages





1011193,elCinema.com,Family (all ages)








1000964,elCinema.com,Adult Supervision





1008449,elCinema.com,Adult Supervision






















1008212,MPAA,Unrated

1011016,Egypt,All Ages
1928525,Egypt,All Ages
1979977,Egypt,All Ages


1010825,Egypt,All Ages
1011240,elCinema.com,Adult Supervision


1008645,Egypt,All Ages
1011191,Egypt,All Ages



1188359,elCinema.com,Adult Supervision



1010114,elCinema.com,Family (all ages)



1000632,elCinema.com,Adult Supervision






2005714,elCinema.com,Family (all ages)
1010226,MPAA,Unrated
1009941,Egypt,All Ages







1000336,elCinema.com,Adult Supervision
1011711,Egypt,All Ages
1010826,elCinema.com,Adults Only (18+)





1010812,Egypt,All Ages













1010543,Egypt,All Ages


2019780,elCinema.com,Adult Supervision







1002406,Egypt,All Ages




1010598,elCinema.com,Family (all ages)


1009068,Egypt,All Ages
1003671,Egypt,All Ages




1001924,elCinema.com,Family (all ages)




1787946,Egypt,All Ages
1259671,Egypt,All Ages
1010960,Egypt,All Ages


1010462,Egypt,All Ages

1682171,elCinema.com,Adult Supervision
1976119,elCinema.com,Adult Supervision

1010536,Egypt,All Ages
1284447,elCinema.com,Family (all ages)
2002230,elCinema.com,Family (all ages)
1350107,Egypt,All Ages

1010538,elCinema.com,Adult Supervision
1227689,elCinema.com,Family (all ages)
1010644,elCinema.com,Adult Supervision



1471200,elCinema.com,Adult Supervision
1010745,elCinema.com,Adult Supervision
1008469,elCinema.com,Adult Supervision
1008469,elCinema.com,Adult Supervision
1010745,elCinema.com,Adult Supervision




1010236,elCinema.com,Adults Only (18+)
1011532,Egypt,All Ages
1002423,Egypt,All Ages

1007663,Egypt,All Ages
1011718,elCinema.com,Adult Supervision
2022498,Egypt,All Ages









1010337,elCinema.com,Adult Supervision

1006852,Egypt,All Ages



1010828,elCinema.com,Adult Supervision





1003682,Egypt,All Ages


1005141,Egypt,All Ages
2026585,Egypt,All Ages




1064918,Egypt,All Ages


1538456,Egypt,All Ages












1001661,Egypt,All Ages

1953061,Egypt,All Ages
1010244,Egypt,All Ages


1004213,Egypt,All Ages
1010461,elCinema.com,Family (all ages)
1010605,elCinema.com,Adult Supervision
1010573,elCinema.com,Adults Only (18+)
1484941,Egypt,All Ages






1531116,Egypt,All Ages

1010373,Egypt,All Ages
1010652,elCinema.com,Family (all ages)

1010135,elCinema.com,Adult Supervision

1011613,elCinema.com,Adult Supervision
1010897,Egypt,All Ages
1011399,Egypt,All Ages








1006083,Egypt,All Ages
1010476,elCinema.com,Adult Supervision


1010965,elCinema.com,Family (all ages)


1001007,Egypt,+16

1003998,elCinema.com,Adult Supervision

1004472,Egypt,All Ages
1003038,Egypt,All Ages

1009504,elCinema.com,Adult Supervision

1003790,Egypt,All Ages







1344697,elCinema.com,Family (all ages)







1007027,Egypt,All Ages
1552716,Egypt,All Ages

1010776,Egypt,All Ages


1010306,elCinema.com,Adult Supervision

1004874,Egypt,All Ages

1003210,Egypt,All Ages


1004617,elCinema.com,Family (all ages)

1369579,Egypt,+18
1007053,elCinema.com,Family (all ages)
1010537,Egypt,All Ages


1178406,Egypt,All Ages
1023511,Egypt,+12




1558950,Egypt,All Ages

1870889,Egypt,All Ages



1005354,MPAA,Unrated
1601196,elCinema.com,Family (all ages)


1005359,Egypt,All Ages
1007954,elCinema.com,Family (all ages)






1001006,elCinema.com,Adult Supervision

1003729,Egypt,All Ages
